entity_type,slug,name,name_fa,summary
dish,ghormeh-sabzi,Ghormeh Sabzi,قورمه سبزی,"Iran's beloved herb stew is considered the national dish, simmered for hours with fenugreek, parsley, cilantro, and tender lamb. Served over fluffy basmati rice, it's the taste of home for every Iranian family."
dish,tahdig,Tahdig,ته دیگ,"The golden, crispy layer of rice from the bottom of the pot is Iran's most celebrated side dish and a point of culinary pride. Breaking the tahdig at the table is a moment of suspense and triumph in every Persian household."
dish,chelo-kabab-koobideh,Chelo Kabab Koobideh,چلو کباب کوبیده,"The quintessential Iranian restaurant meal: juicy, saffron-kissed skewers of ground lamb grilled over charcoal, served with buttery saffron rice and a grilled tomato. Koobideh is the benchmark by which every kabab shop in Iran is judged."
dish,ash-reshteh,Ash Reshteh,آش رشته,"This thick, hearty noodle-and-herb soup is Iran's ultimate comfort food, traditionally served during Nowruz and on cold winter evenings. Topped with kashk, fried mint, and crispy onions, each bowl is a symphony of textures and tangy flavors."
dish,tahchin,Tahchin,ته چین,"A stunning saffron rice cake with layers of tender chicken or lamb baked until the exterior is golden and crunchy. Tahchin is the showpiece of Persian celebration tables, sliced like a torte to reveal its jeweled layers."
dish,sangak-bread,Sangak Bread,نان سنگک,"Baked on a bed of hot river pebbles in a traditional oven, sangak is Iran's most ancient and revered bread. Its pebbly texture, slight char, and wholesome wheat flavor make it the perfect companion for every Persian meal."
dish,faloodeh,Faloodeh,فالوده,"One of the world's oldest frozen desserts, faloodeh features thin rice vermicelli frozen in a rose-water and lime syrup. This refreshing Shirazi specialty is the perfect antidote to Iran's summer heat."
dish,zereshk-polo,Zereshk Polo,زرشک پلو,Jeweled saffron rice studded with ruby-red barberries and served with tender chicken — zereshk polo ba morgh is the dish that graces every Iranian wedding and celebration table. Its sweet-tart flavor profile is uniquely Persian.
dynasty,achaemenid,Achaemenid Empire,هخامنشیان,"The first Persian Empire and one of history's greatest, the Achaemenids united lands from Egypt to India under a remarkably tolerant rule. Their legacy at Persepolis remains Iran's most magnificent archaeological site and a UNESCO World Heritage treasure."
dynasty,parthian,Parthian Empire,اشکانیان,"Rome's greatest eastern rival, the Parthian Empire ruled Iran for nearly 500 years and was famed for its mounted archers and decentralized feudal system. Their legacy lives on in caravanserais and trade routes across the Iranian plateau."
