name,name_fa,year_inscribed,type,city,province,lat,lng,description
Persepolis,تخت جمشید,1979,cultural,Marvdasht,Fars,29.9341,52.8914,"The ceremonial capital of the Achaemenid Empire, founded by Darius I around 518 BC. Its monumental ruins include the Gate of All Nations, Apadana Palace, and intricately carved reliefs depicting tribute-bearing delegations from across the empire."
Naqsh-e Jahan Square,میدان نقش جهان,1979,cultural,Isfahan,Isfahan,32.6575,51.6776,"One of the largest city squares in the world, built by Shah Abbas I in the early 17th century. Surrounded by masterpieces of Safavid architecture including the Shah Mosque, Sheikh Lotfollah Mosque, and Ali Qapu Palace."
Tchogha Zanbil,چغازنبیل,1979,cultural,Susa,Khuzestan,32.0094,48.5219,"The ruins of the holy city of the Elamite Kingdom, founded around 1250 BC. Its massive ziggurat, the best-preserved example outside of Mesopotamia, originally rose to five stories and was surrounded by three concentric walls."
Takht-e Soleyman,تخت سلیمان,2003,cultural,Takab,West Azerbaijan,36.6036,47.2344,The holiest Zoroastrian sanctuary and a royal Sassanid site built around a volcanic crater lake. The complex includes an Anahita fire temple and an artesian lake that has been a place of worship since the 1st millennium BC.
Pasargadae,پاسارگاد,2004,cultural,Pasargad,Fars,30.1942,53.1669,"The first dynastic capital of the Achaemenid Empire, founded by Cyrus the Great in the 6th century BC. The site contains the iconic Tomb of Cyrus, the remains of royal palaces, and the earliest known example of a Persian Chahar Bagh garden."
Bam and Its Cultural Landscape,ارگ بم,2004,cultural,Bam,Kerman,29.1169,58.3567,"Once the world's largest adobe structure, the citadel of Bam is a fortified medieval trading town at the crossroads of major Silk Road routes. Severely damaged by a 2003 earthquake, it has been the subject of extensive international restoration efforts."
Soltaniyeh,سلطانیه,2005,cultural,Soltaniyeh,Zanjan,36.4349,48.7936,"The mausoleum of Oljeitu, built in 1302-1312, features the oldest surviving double-shell dome in the world and the largest brick dome ever built. The 50-meter-tall structure was the capital of the Ilkhanid dynasty and a precursor to the Taj Mahal."
Bisotun,بیستون,2006,cultural,Bisotun,Kermanshah,34.3867,47.4378,"A monumental cliff inscription carved by order of Darius I in 521 BC, written in three cuneiform scripts (Old Persian, Elamite, Babylonian). It was the key to deciphering cuneiform and contains archaeological remains spanning from prehistoric times to the Median and Achaemenid periods."
Armenian Monastic Ensembles of Iran,مجموعه‌های صومعه‌ای ارمنی ایران,2008,cultural,Jolfa,East Azerbaijan,38.9747,44.575,"Three Armenian Christian monastic ensembles—St. Thaddeus, St. Stepanos, and the Chapel of Dzordzor—dating from the 7th century onward. They illustrate outstanding examples of Armenian architectural and decorative traditions in interchange with Persian, Byzantine, and Orthodox cultures."
Shushtar Historical Hydraulic System,سازه‌های آبی تاریخی شوشتر,2009,cultural,Shushtar,Khuzestan,32.0489,48.8567,"A masterpiece of creative genius dating to the Sassanid era, this complex system of bridges, weirs, tunnels, canals, and mills created a virtual island city. It represents the earliest and most extensive grand-scale water management infrastructure in the world."
